HOSTID,HOSTNAME,DOMAINNAME,FQDN,FQDNDYNAMIC,DESCRIPTION,HOSTTYPE,MANAGEDBY,CPU,MEM,SCOMOS,VIRTUALOS,MANUALOS,VERSION,ARCH,DTAP,CONTRACT,CUSTOMER,STATE,CIMAPPING,HWHOST,HWSERIAL,LOCATION,PATCHINGTOOL,BACKUPTOOL,MONITORINGTOOL,ANTIVIRUSTOOL,INSCCM,HIROAUTOMATIONENABLED,CREATIONDATE
"22103","ACCEIS","","ACCEIS","","EIS (Win2000)","Vmachine with HW Failover","AHS","1","4096","","","Windows 2000","SP4","x86","P","Atlas NAM","Atlas Copco","Disposed","3","SSISUSESX007","J10BF4K","Atlas Copco - Rock Hill","Manual","Avamar","Monitoring Exception: Unkown","Antivirus Exception: Unkown","","False","01/12/2017 00:00:00"
"33681","ACCFS","nasa.group.atlascopco.com","ACCFS.nasa.group.atlascopco.com","ACCFS.nasa.group.atlascopco.com","File Server","Vmachine with HW Failover","AHS","4","12288","Microsoft Windows Server 2019 Standard","Microsoft Windows Server 2016 or later (64-bit)","Windows 2019 Standard","SP0","x64","P","Atlas DCCOP NASA","Atlas Copco","Up","1","ssisusesx007.nasa.group.atlascopco.com","J10BF4K","Atlas Copco - Rock Hill","SCCM","CEB canopy","SCOM","MS Defender – ATP – Atos Managed","True","True","08/04/2020 18:07:56"
"22113","ACCFS-OLD","nasa.group.atlascopco.com","ACCFS-OLD.nasa.group.atlascopco.com","","FILE PRINT","Vmachine with HW Failover","AHS","4","12288","","","Windows 2003 Standard","SP1","x64","P","Atlas NAM","Atlas Copco","Down","1","SSISUSESX007","J10BF4K","Atlas Copco - Rock Hill","SCCM","CEB canopy","SCOM","Symantec Endpoint Protection (SEP)","True","False","01/12/2017 00:00:00"
"19045","ACCFXTS","fcentrix.atlascopco.com","ACCFXTS.fcentrix.atlascopco.com","","Field Centrix","Vmachine with HW Failover","AHS","1","4096","","","Windows 2003 Standard","SP2","x64","P","Atlas NAM","Atlas Copco","Disposed","3","Single tenant Vblock AC Carrollton","1 (TBC)","Atos - Arlington","SCCM","CEB canopy","SCOM","Symantec Endpoint Protection (SEP)","True","False","01/12/2017 00:00:00"
"22130","ACCIMG","","ACCIMG","","Altiris","Vmachine with HW Failover","AHS","2","3072","","","Windows 2003 Standard","SP1","x64","P","Atlas NAM","Atlas Copco","Disposed","1","","","","","","","","","False","01/12/2017 00:00:00"
"18657","ACCSBEAP4000","ACDMZPRD.local","ACCSBEAP4000.ACDMZPRD.local","ACCSBEAP4000.ACDMZPRD.local","SWIFT server","Vmachine with HW Failover","AHS","2","8192","Microsoft Windows Server 2012 R2 Standard","Microsoft Windows Server 2012 (64-bit)","Windows 2012 R2 Standard","SP1","x64","P","Atlas Sweden","Atlas Copco","Up","1","eacoehuicmp503.acomgt.local","V62CK5216001","Atos - DC Huizingen","SCCM","Avamar","SCOM","MS Defender – ATP – Atos Managed","True","True","01/12/2017 00:00:00"
"18658","ACCSBEAP4001","ACDMZPRD.local","ACCSBEAP4001.ACDMZPRD.local","ACCSBEAP4001.ACDMZPRD.local","SWIFT server","Vmachine with HW Failover","AHS","3","6144","Microsoft Windows Server 2012 R2 Standard","Microsoft Windows Server 2012 (64-bit)","Windows 2012 R2 Standard","SP1","x64","P","Atlas Sweden","Atlas Copco","Up","1","eacoehuicmp512.acomgt.local","FCH21487JP5","Atos - DC Huizingen","SCCM","Avamar","SCOM","MS Defender – ATP – Atos Managed","True","True","01/12/2017 00:00:00"
"18659","ACCSBEAP4002","acdmzstg.local","ACCSBEAP4002.acdmzstg.local","ACCSBEAP4002.acdmzstg.local","SWIFT server","Vmachine with HW Failover","AHS","2","6144","Microsoft Windows Server 2012 R2 Standard","Microsoft Windows Server 2012 (64-bit)","Windows 2012 R2 Standard","SP1","x64","T","Atlas Sweden","Atlas Copco","Up","1","eacoehuicmp502.acomgt.local","V62CK5216001","Atos - DC Huizingen","SCCM","Avamar","SCOM","MS Defender – ATP – Atos Managed","True","True","01/12/2017 00:00:00"
"31464","ACDB02","atlascopco.group","ACDB02.atlascopco.group","","Shared","Azure VM","AHS","16","114688","","","Windows 2016 Datacenter","SP0","x64","T","Atlas DCCOP EMEA","Atlas Copco","Up","1","","","Microsoft - Azure Cloud","SCCM","Azure Backup","Monitoring Exception: Server is not up","MS Defender – ATP – Atos Managed","True","True","15/12/2018 14:01:44"
"7417","ACDMZPRDDC01","ACDMZPRD.local","ACDMZPRDDC01.ACDMZPRD.local","ACDMZPRDDC01.ACDMZPRD.local","ACDMZPRD domain controller+SCOM Gateway (failover ACDMZPRDDC01)","Vmachine with HW Failover","AHS","2","4096","Microsoft Windows Server 2012 R2 Standard","Microsoft Windows Server 2012 (64-bit)","Windows 2012 R2 Standard","SP0","x64","P","Atlas ACDMZ","Atlas Copco","Up","1","atobeph421.atos.vi.lan","XAN-S18-01598","Atos - DC Huizingen","SCCM","Networker","SCOM","MS Defender – ATP – Atos Managed","True","True","01/12/2017 00:00:00"
"7418","ACDMZPRDDC02","ACDMZPRD.local","ACDMZPRDDC02.ACDMZPRD.local","ACDMZPRDDC02.ACDMZPRD.local","ACDMZPRD domain controller +SCOM GW (failover ACDMZPRDDC01)","Vmachine with HW Failover","AHS","2","4096","Microsoft Windows Server 2012 R2 Standard","Microsoft Windows Server 2012 (64-bit)","Windows 2012 R2 Standard","SP0","x64","P","Atlas ACDMZ","Atlas Copco","Up","1","eacoemeccmp002.acomgt.local","V62CK5216002","Atos - DC Mechelen","SCCM","Networker","SCOM","MS Defender – ATP – Atos Managed","True","True","01/12/2017 00:00:00"
"7419","ACDMZSTGDC01","acdmzstg.local","ACDMZSTGDC01.acdmzstg.local","ACDMZSTGDC01.acdmzstg.local","ACDMZSTG domain controller + SCOM Gateway","Vmachine with HW Failover","AHS","2","4096","Microsoft Windows Server 2012 R2 Standard","Microsoft Windows Server 2012 (64-bit)","Windows 2012 R2 Standard","SP0","x64","S","Atlas ACDMZ","Atlas Copco","Up","2","atobeph421.atos.vi.lan","XAN-S18-01598","Atos - DC Huizingen","SCCM","Networker","SCOM","MS Defender – ATP – Atos Managed","True","True","01/12/2017 00:00:00"
"7420","ACDMZSTGDC02","acdmzstg.local","ACDMZSTGDC02.acdmzstg.local","ACDMZSTGDC02.acdmzstg.local","ACDMZSTG domain controller + SCOM Gateway","Vmachine with HW Failover","AHS","2","4096","Microsoft Windows Server 2012 R2 Standard","Microsoft Windows Server 2012 (64-bit)","Windows 2012 R2 Standard","SP0","x64","S","Atlas ACDMZ","Atlas Copco","Up","2","eacoemeccmp005.acomgt.local","V62CK5216002","Atos - DC Mechelen","SCCM","Networker","SCOM","MS Defender – ATP – Atos Managed","True","True","01/12/2017 00:00:00"
"31483","ACEAILOGGING","atlascopco.group","ACEAILOGGING.atlascopco.group","","Sandbox","Azure VM","AHS","8","32768","Microsoft Windows Server 2016 Datacenter","","Windows 2016 Datacenter","SP0","x64","T","Atlas DCCOP EMEA","Atlas Copco","Up","1","","","Microsoft - Azure Cloud","SCCM","Azure Backup","SCOM","MS Defender – ATP – Atos Managed","True","True","15/12/2018 14:01:46"
"31332","ACE-ANTIVIRUS","atlas-energas.de","ACE-ANTIVIRUS.atlas-energas.de","","SCCM scanned","Hardware Machine","Customer","2","2048","","","Windows 2003 Standard","SP2","x86","P","Atlas not in scope","Atlas Copco","Disposed","2","","","Atlas Copco - Not defined","Patching Exception: TBD","Backup exception: TBD","Monitoring Exception: TBD","Antivirus Exception: TBD","True","False","28/11/2018 16:36:27"
"31333","ACE-CUMULUS","atlas-energas.de","ACE-CUMULUS.atlas-energas.de","","SCCM scanned","Vmachine with HW Failover","Customer","1","2048","","","Windows 2003 Standard","SP2","x64","P","Atlas not in scope","Atlas Copco","Disposed","2","","","Atlas Copco - Not defined","Patching Exception: TBD","Backup exception: TBD","Monitoring Exception: TBD","Antivirus Exception: TBD","True","False","28/11/2018 17:07:15"
"31334","ACE-SYSTEM","EOA","ACE-SYSTEM.EOA","","SCCM scanned","Vmachine with HW Failover","Customer","1","2048","","","Windows 2003 Standard","SP2","x86","P","Atlas not in scope","Atlas Copco","Disposed","2","","","Atlas Copco - Not defined","Patching Exception: TBD","Backup exception: TBD","Monitoring Exception: TBD","Antivirus Exception: TBD","True","False","28/11/2018 17:07:16"
"31335","ACE-TERMINAL","atlas-energas.de","ACE-TERMINAL.atlas-energas.de","","SCCM scanned","Hardware Machine","Customer","8","8192","","","Windows 2003 Standard","SP2","x86","P","Atlas not in scope","Atlas Copco","Disposed","2","","","Atlas Copco - Not defined","Patching Exception: TBD","Backup exception: TBD","Monitoring Exception: TBD","Antivirus Exception: TBD","True","False","28/11/2018 17:07:16"
"18668","ACGPSVFDEHUZ","","ACGPSVFDEHUZ","","vfiler for Atlas Copco","Clustered Vmachine","AHS","2","2048","","","vFiler","Inherited Ontap","x86","D","Atlas GPS","Atlas Copco","Disposed","3","BENAF01-01-HW","211603000120","Atos - DC Huizingen","BBSA","Avamar","Monitoring Exception: Backup & Storage monitoring","Antivirus Exception: n.a.","","False","01/12/2017 00:00:00"
"18673","ACGPSVFDENOS","","ACGPSVFDENOS","","vfiler for Atlas Copco","Clustered Vmachine","AHS","2","2048","","","vFiler","Inherited Ontap","x86","D","Atlas GPS","Atlas Copco","Disposed","3","BENAF02-01-HW","211603000118","Atos - DC Mechelen","BBSA","Avamar","Monitoring Exception: Backup & Storage Monitoring","Antivirus Exception: n.a.","","False","01/12/2017 00:00:00"
"18667","ACGPSVFPRHUZ","","ACGPSVFPRHUZ","","vfiler for Atlas Copco","Clustered Vmachine","AHS","2","2048","","","vFiler","Inherited Ontap","x86","P","Atlas GPS","Atlas Copco","Disposed","1","BENAF01-01-HW","211603000120","Atos - DC Huizingen","BBSA: Backup & Storage","Avamar: Backup & Storage","Monitoring Exception: Backup & Storage Monitoring","McAfee","","False","01/12/2017 00:00:00"
"18671","ACGPSVFPRNOS","","ACGPSVFPRNOS","","vfiler for Atlas Copco","Clustered Vmachine","AHS","2","2048","","","vFiler","Inherited Ontap","x86","P","Atlas GPS","Atlas Copco","Disposed","1","BENAF02-01-HW","211603000118","Atos - DC Mechelen","BBSA","Avamar","Monitoring Exception: Backup & Storage Monitoring","Antivirus Exception: n.a.","","False","01/12/2017 00:00:00"
"18669","ACGPSVFTEHUZ","","ACGPSVFTEHUZ","","vfiler for Atlas Copco","Clustered Vmachine","AHS","2","2048","","","vFiler","Inherited Ontap","x86","T","Atlas GPS","Atlas Copco","Disposed","3","BENAF01-01-HW","211603000120","Atos - DC Huizingen","BBSA","Avamar","Monitoring Exception: Backup & Storage Monitoring","Antivirus Exception: n.a.","","False","01/12/2017 00:00:00"
"18672","ACGPSVFTENOS","","ACGPSVFTENOS","","vfiler for Atlas Copco","Clustered Vmachine","AHS","2","2048","","","vFiler","Inherited Ontap","x86","T","Atlas GPS","Atlas Copco","Disposed","3","BENAF02-01-HW","211603000118","Atos - DC Mechelen","BBSA","Avamar","Monitoring Exception: Backup & Storage","Antivirus Exception: n.a.","","False","01/12/2017 00:00:00"
"32766","ACGSBEAS1000","atlascopco.group","ACGSBEAS1000.atlascopco.group","ACGSBEAS1000.atlascopco.group","SHP_Migration1","Vmachine with HW Failover","AHS","4","16384","Microsoft Windows 10 Enterprise","Microsoft Windows 10 (64-bit)","Windows 10","SP0","x64","P","Atlas DCCOP EMEA","Atlas Copco","Up","1","eacoemeccmp006.acomgt.local","V62CK5216002","Atos - DC Mechelen","SCCM","Avamar","SCOM","MS Defender – ATP – Atos Managed","True","False","30/07/2019 18:53:13"
"32767","ACGSBEAS1001","atlascopco.group","ACGSBEAS1001.atlascopco.group","ACGSBEAS1001.atlascopco.group","SHP_Migration2","Vmachine with HW Failover","AHS","4","16384","Microsoft Windows 10 Enterprise","Microsoft Windows 10 (64-bit)","Windows 10","SP0","x64","P","Atlas DCCOP EMEA","Atlas Copco","Up","1","aacoemecmgt001.acomgt.local","","Atos - DC Mechelen","SCCM","Avamar","SCOM","MS Defender – ATP – Atos Managed","True","False","30/07/2019 18:53:13"
"33124","ACGSBEAS1002","atlascopco.group","ACGSBEAS1002.atlascopco.group","","SHP_Migration3","Vmachine with HW Failover","AHS","4","16384","","","Windows 10","SP0","x64","P","Atlas DCCOP EMEA","Atlas Copco","Disposed","1","","","Atos - DC Mechelen","SCCM","Avamar","SCOM","MS Defender – ATP – Atos Managed","True","False","23/12/2019 09:24:47"
"31907","ACHBEAP4000","atlascopco.group","ACHBEAP4000.atlascopco.group","ACHBEAP4000.atlascopco.group","GIAA ACL","Vmachine with HW Failover","AHS","4","16384","Microsoft Windows Server 2016 Standard","Microsoft Windows Server 2016 (64-bit)","Windows 2016 Standard","SP0","x64","P","Atlas DCCOP EMEA","Atlas Copco","Up","1","eacoehuicmp513.acomgt.local","FCH21507M84","Atos - DC Huizingen","SCCM","Avamar","SCOM","MS Defender – ATP – Atos Managed","True","True","27/02/2019 18:00:16"
"33806","ACHSVDI0001","atlascopco.group","ACHSVDI0001.atlascopco.group","","Azure VDI","Azure VM","AHS","2","8192","Microsoft Windows 10 Enterprise","","Windows 10","SP0","x64","P","Atlas DCCOP EMEA","Atlas Copco","Up","1","","","Microsoft - Azure Cloud","SCCM","Azure Backup","SCOM","MS Defender – ATP – Atos Managed","True","False","07/05/2020 09:45:11"
"33807","ACHSVDI0002","atlascopco.group","ACHSVDI0002.atlascopco.group","","Azure VDI","Azure VM","AHS","2","8192","Microsoft Windows 10 Enterprise for Virtual Desktops","","Windows 10","SP0","x64","P","Atlas DCCOP EMEA","Atlas Copco","Up","1","","","Microsoft - Azure Cloud","SCCM","Azure Backup","SCOM","MS Defender – ATP – Atos Managed","True","False","07/05/2020 09:45:11"
"34812","AC-IAM-VM-D","atlascopco.group","AC-IAM-VM-D.atlascopco.group","","N/A","Vmachine with HW Failover","AHS","2","4096","","","Windows 2019 Standard","SP0","x64","D","Atlas Servers with limited services EMEA","Atlas Copco","Transition","1","","","Microsoft - Azure Cloud","SCCM","Backup exception: Exception","Monitoring Exception: Exception","MS Defender – ATP – Atos Managed","True","False","04/12/2020 13:34:58"
"23427","ACNP002","atlascopco-extranet.com","ACNP002.atlascopco-extranet.com","","WEBSECURITY- Oblix Netpoint Server","Vmachine with HW Failover","AHS","2","4096","","","Windows 2003 Enterprise","SP0","x64","P","Atlas DCCOP EMEA","Atlas Copco","Disposed","1","","","Atlas Copco - Wilrijk","SCCM","CommVault","SCOM","Symantec Endpoint Protection (SEP)","True","False","13/10/2017 08:04:00"
"1448","ACPSBEAPACPR01","","ACPSBEAPACPR01","","ISS Server","Vmachine with HW Failover","AHS","","","","","Windows 2003 Enterprise","SP2","x64","P","Atlas Speed","Atlas Copco","Disposed","2","","","","","","","","","False","01/12/2017 00:00:00"
"1449","ACPSBEAPACPR02","","ACPSBEAPACPR02","","ISS Server","Vmachine with HW Failover","AHS","","","","","Windows 2003 Enterprise","SP2","x64","P","Atlas Speed","Atlas Copco","Disposed","2","","","","","","","","","False","01/12/2017 00:00:00"
"15580","ACPSBEAPACPR03","acsis.local","ACPSBEAPACPR03.acsis.local","ACPSBEAPACPR03.acsis.local","SO Admin","Vmachine with HW Failover","AHS","2","4096","Microsoft Windows Server 2016 Standard","Microsoft Windows Server 2016 (64-bit)","Windows 2016 Standard","SP1","x64","P","Atlas Shoponline","Atlas Copco","Up","1","eacoehuicmp510.acomgt.local","FCH21487K3C","Atos - DC Huizingen","SCCM","Avamar","SCOM","McAfee","True","True","01/12/2017 00:00:00"
"1503","ACPSBEAPACST01","","ACPSBEAPACST01","","Speed","Vmachine with HW Failover","AHS","","","","","Windows 2003 R2 Enterprise","SP0","x64","S","Atlas Speed","Atlas Copco","Disposed","3","","","","","","","","","False","01/12/2017 00:00:00"
"15579","ACPSBEAPACST02","acsistst.local","ACPSBEAPACST02.acsistst.local","ACPSBEAPACST02.acsistst.local","SO Admin","Vmachine with HW Failover","AHS","2","4096","Microsoft Windows Server 2016 Standard","Microsoft Windows Server 2016 (64-bit)","Windows 2016 Standard","SP1","x64","S","Atlas Shoponline","Atlas Copco","Up","2","eacoemeccmp005.acomgt.local","V62CK5216002","Atos - DC Mechelen","SCCM","Avamar","SCOM","MS Defender – ATP – Atos Managed","True","True","01/12/2017 00:00:00"
"17073","ACPSBEAPACST04","emea.group.atlascopco.com","ACPSBEAPACST04.emea.group.atlascopco.com","ACPSBEAPACST04.emea.group.atlascopco.com","SO Admin","Vmachine with HW Failover","AHS","2","4096","Microsoft Windows Server 2016 Standard","Microsoft Windows Server 2016 (64-bit)","Windows 2016 Standard","SP1","x64","S","Atlas Shoponline","Atlas Copco","Up","2","eacoemeccmp001.acomgt.local","V62CK5216002","Atos - DC Mechelen","SCCM","Avamar","SCOM","MS Defender – ATP – Atos Managed","True","True","01/12/2017 00:00:00"
"1504","ACPSBEAPACTE01","","ACPSBEAPACTE01","","Speed","Vmachine with HW Failover","AHS","","","","","Windows 2003 Enterprise","SP2","x64","S","Atlas Speed","Atlas Copco","Disposed","3","","","","","","","","","False","01/12/2017 00:00:00"
"1505","ACPSBEAPCCDE01","","ACPSBEAPCCDE01","","WEBCMS","Vmachine with HW Failover","AHS","","","","","Windows 2003 Enterprise","SP2","x64","S","Atlas Speed","Atlas Copco","Disposed","3","","","","","","","","","False","01/12/2017 00:00:00"
"3494","ACPSBEAPCCDE02","","ACPSBEAPCCDE02","","Tridion","Vmachine with HW Failover","AHS","","","","","Windows 2008 R2 Standard","SP1","x64","S","Atlas WEBCMS","Atlas Copco","Disposed","3","","","","","","","","","False","01/12/2017 00:00:00"
"1450","ACPSBEAPCCPR01","","ACPSBEAPCCPR01","","WEBCMS - Tridion","Vmachine with HW Failover","AHS","","","","","Windows 2003 Enterprise","SP2","x64","P","Atlas Speed","Atlas Copco","Disposed","2","","","","","","","","","False","01/12/2017 00:00:00"
"4218","ACPSBEAPCCPR04","acsis.local","ACPSBEAPCCPR04.acsis.local","","Internal Front-End Tridion server","Vmachine with HW Failover","AHS","4","16384","","","Windows 2008 R2 Standard","SP1","x64","P","Atlas WEBCMS","Atlas Copco","Disposed","1","","","Atos - DC Huizingen","SCCM","Networker","SCOM","Symantec Endpoint Protection (SEP)","True","False","01/12/2017 00:00:00"
"4219","ACPSBEAPCCPR05","","ACPSBEAPCCPR05","","Internal Front-End Tridion server","Vmachine with HW Failover","AHS","","","","","Windows 2008 R2 Standard","SP1","x64","P","Atlas WEBCMS","Atlas Copco","Disposed","1","","","","","","","","","False","01/12/2017 00:00:00"
"4220","ACPSBEAPCCPR06","acsis.local","ACPSBEAPCCPR06.acsis.local","","Internal Front-End Tridion server","Vmachine with HW Failover","AHS","4","16384","","","Windows 2008 R2 Standard","SP1","x64","P","Atlas WEBCMS","Atlas Copco","Disposed","1","","","Atos - DC Huizingen","SCCM","Networker","SCOM","Symantec Endpoint Protection (SEP)","True","False","01/12/2017 00:00:00"
"1568","ACPSBEAPCCST03","","ACPSBEAPCCST03","","WEBCMS","Vmachine with HW Failover","AHS","","","","","Windows 2008 R2 Standard","SP1","x64","S","Atlas WEBCMS","Atlas Copco","Disposed","3","","","","","","","","","False","01/12/2017 00:00:00"
"1569","ACPSBEAPCCST04","","ACPSBEAPCCST04","","WEBCMS","Vmachine with HW Failover","AHS","","","","","Windows 2008 R2 Standard","SP1","x64","S","Atlas WEBCMS","Atlas Copco","Disposed","2","","","","","","","","","False","01/12/2017 00:00:00"
"1508","ACPSBEAPCCTE01","","ACPSBEAPCCTE01","","WEBCMS","Vmachine with HW Failover","AHS","","","","","Windows 2003 Enterprise","SP2","x64","S","Atlas WEBCMS","Atlas Copco","Disposed","3","","","","","","","","","False","01/12/2017 00:00:00"
"1563","ACPSBEAPCCTE02","WORKGROUP","ACPSBEAPCCTE02.WORKGROUP","","WebServer","Vmachine with HW Failover","AHS","4","8192","","","Windows 2008 R2 Enterprise","SP1","x64","S","Atlas Speed","Atlas Copco","Disposed","3","","","Atos - DC Huizingen","SCCM","Networker","SCOM","McAfee","True","False","01/12/2017 00:00:00"
"1509","ACPSBEAPFL01","acsistst.local","ACPSBEAPFL01.acsistst.local","","Speed","Vmachine with HW Failover","AHS","1","2048","","","Windows 2008 Enterprise","SP2","x64","S","Atlas Speed","Atlas Copco","Disposed","3","","","Atos - DC Mechelen","SCCM","Avamar","SCOM","McAfee","True","False","01/12/2017 00:00:00"
